"",0,1
0,"298050",0.9853609800338745
1,"006400",0.9864107966423035
2,"093370",0.9864492416381836
3,"051910",0.9882765412330627
4,"035720",0.9883814454078674
5,"103140",0.9892693161964417
6,"011790",0.9894825220108032
7,"096770",0.9895948767662048
8,"014820",0.9897801280021667
9,"282330",0.9898192286491394
10,"105630",0.9900273084640503
11,"019170",0.9901552796363831
12,"010620",0.9901788234710693
13,"001440",0.9905373454093933
14,"057050",0.9907115697860718
15,"271940",0.991179883480072
16,"272210",0.9915129542350769
17,"014680",0.9915743470191956
18,"298020",0.9920324683189392
19,"381970",0.9920520782470703
20,"069960",0.9922937154769897
21,"004490",0.9924578666687012
22,"005250",0.9925678372383118
23,"020560",0.9926787614822388
24,"034220",0.9927060008049011
25,"000880",0.9927508234977722
26,"011170",0.993307888507843
27,"036460",0.9934969544410706
28,"128940",0.9936079382896423
29,"071050",0.993874192237854
30,"000080",0.993926465511322
31,"066570",0.9940540790557861
32,"178920",0.9941172003746033
33,"259960",0.9941319823265076
34,"052690",0.9942819476127625
35,"047810",0.9944576025009155
36,"001120",0.9946229457855225
37,"175330",0.9946403503417969
38,"003240",0.9946784973144531
39,"055550",0.994723379611969
40,"034730",0.9949604868888855
41,"004990",0.9950585961341858
42,"000240",0.995110809803009
43,"010950",0.9951401948928833
44,"294870",0.9952117204666138
45,"021240",0.9952436089515686
46,"007310",0.9952475428581238
47,"023530",0.9954383969306946
48,"088350",0.9954952597618103
49,"009240",0.9961149096488953
50,"007070",0.9961379170417786
51,"011200",0.9963241219520569
52,"002380",0.9966921210289001
53,"001450",0.9973019361495972
54,"011780",0.9974788427352905
55,"005830",0.9974965453147888
56,"000810",0.9976446032524109
57,"138040",0.997749388217926
58,"086790",0.9980832934379578
59,"402340",0.9988601803779602
60,"204320",0.9993727207183838
61,"000270",0.999960720539093
